Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-14	Hanko	Uusimaa (U)	Suomi	59.82677	22.93563		NEUTRAL	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-14	Hanko	Uusimaa (U)	Suomi	59.82834	22.94341		NEUTRAL	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-14	Lahti	Etelä-Häme (EH)	Suomi	61.01091	25.71536		NEUTRAL	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-13	Espoo	Uusimaa (U)	Suomi	60.16166	24.76749		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-13	Espoo	Uusimaa (U)	Suomi	60.18187	24.65952		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-13	Helsinki	Uusimaa (U)	Suomi	60.1799	24.99716		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-13	Helsinki	Uusimaa (U)	Suomi	60.18035	24.99678		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-13	Espoo	Uusimaa (U)	Suomi	60.16076	24.76926		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-13	Joensuu	Pohjois-Karjala (PK)	Suomi	62.58601	29.81234		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12	Espoo	Uusimaa (U)	Suomi	60.1865	24.79979		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12	Helsinki, Kerava, Sipoo, Tuusula, Vantaa	Uusimaa (U)	Suomi	60.3	25.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12	Helsinki	Uusimaa (U)	Suomi	60.21812	24.95053		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12	Helsinki	Uusimaa (U)	Suomi	60.20636	24.86436		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12	Espoo	Uusimaa (U)	Suomi	60.23956	24.66706		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12	Porvoo	Uusimaa (U)	Suomi	60.297	25.89122		NEUTRAL	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12	Porvoo	Uusimaa (U)	Suomi	60.29702	25.89125		NEUTRAL	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12	Salo	Varsinais-Suomi (V)	Suomi	60.17769	23.27606		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-12 [9:42-11:15]	Helsinki	Uusimaa (U)	Suomi	60.247028	25.168106	Sure	NEUTRAL	The Atlas of Finnish Fungi
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-11	Kaarina	Varsinais-Suomi (V)	Suomi	60.41145	22.38594		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-11	Espoo	Uusimaa (U)	Suomi	60.189997	24.66323	Sure	NEUTRAL	The Atlas of Finnish Fungi
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-11	Hirvensalmi, Mikkeli, Mäntyharju	Etelä-Savo (ES)	Suomi	61.5	27.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-11	Helsinki	Uusimaa (U)	Suomi	60.22824	25.04795		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-11	Helsinki	Uusimaa (U)	Suomi	60.20337	25.0675		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-10	Helsinki	Uusimaa (U)	Suomi	60.22992	25.14758		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)	1	2026-09-10	Heinävesi	Pohjois-Savo (PS)	Suomi	62.388045	28.789016	Sure	NEUTRAL	The Atlas of Finnish Fungi
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-07	Raasepori	Varsinais-Suomi (V)	Suomi	60.12979	23.49964	Sure	NEUTRAL	The Atlas of Finnish Fungi
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-07	Nurmijärvi	Uusimaa (U)	Suomi	60.38763	24.75059		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-07	Tohmajärvi	Pohjois-Karjala (PK)	Suomi	62.38981	30.08921		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-06	Espoo	Uusimaa (U)	Suomi	60.18239	24.72322		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-06	Helsinki	Uusimaa (U)	Suomi	60.17792	25.02612		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-05	Espoo	Uusimaa (U)	Suomi	60.31381	24.659		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-05	Kempele	Oulun Pohjanmaa (OP)	Suomi	64.90217	25.56941		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-05	Asikkala	Etelä-Häme (EH)	Suomi	61.231112	25.63621	Sure	NEUTRAL	The Atlas of Finnish Fungi
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-04	Kouvola	Etelä-Savo (ES)	Suomi	60.87781	26.75267		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-02	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.06151	25.52971		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-02	Sodankylä	Sompion Lappi (SoL)	Suomi	67.43176	26.59753		NEUTRAL	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-01	Lieksa	Pohjois-Karjala (PK)	Suomi	63.07896	29.82531		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
herkkutatti (fi) — Boletus edulis	herkkutatti (fi)		2026-09-01	Kouvola	Etelä-Savo (ES)	Suomi	60.89446	26.78485		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
