Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-16	Tuusula	Uusimaa (U)	Suomi	60.39788	25.03995		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-15	Helsinki	Uusimaa (U)	Suomi	60.22522	25.01305		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-15	Helsinki	Uusimaa (U)	Suomi	60.22481	25.01288		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-15	Sipoo	Uusimaa (U)	Suomi	60.34582	25.20955		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-15	Helsinki	Uusimaa (U)	Suomi	60.2254	25.01326		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-15	Vantaa	Uusimaa (U)	Suomi	60.2799	25.12919		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-15	Sipoo	Uusimaa (U)	Suomi	60.34527	25.20917		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-15	Helsinki	Uusimaa (U)	Suomi	60.22643	25.0132		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-15	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.253707	25.910616	Sure	NEUTRAL	Notebook, general observations
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-14 - 2026-09-15	Espoo	Uusimaa (U)	Suomi	60.191668	24.685817	Sure	NEUTRAL	The Atlas of Finnish Fungi
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-14	Parainen	Varsinais-Suomi (V)	Suomi	60.32443	22.27553		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-14	Parainen	Varsinais-Suomi (V)	Suomi	60.32574	22.27556		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-13	Espoo	Uusimaa (U)	Suomi	60.16187	24.76785		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-13	Helsinki	Uusimaa (U)	Suomi	60.27696	25.19288		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-13	Sievi	Keski-Pohjanmaa (KP)	Suomi	63.86306	24.61603		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
