Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-15	Sievi	Keski-Pohjanmaa (KP)	Suomi	63.76425	24.77197		NEUTRAL	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-14	Lohja	Varsinais-Suomi (V)	Suomi	60.307986	24.192174	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-14	Masku, Mynämäki, Nousiainen, Pöytyä, Rusko, Turku	Satakunta (St), Varsinais-Suomi (V)	Suomi	60.7	22.3		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-13	Vihti	Varsinais-Suomi (V)	Suomi	60.30198	24.49065		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-13 [15:19-16:52]	Tampere	Etelä-Häme (EH)	Suomi	61.470333	23.811439	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-13	Kirkkonummi	Uusimaa (U)	Suomi	60.10831	24.40357		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-12	Espoo	Uusimaa (U)	Suomi	60.23107	24.67727		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-12	Kirkkonummi	Uusimaa (U)	Suomi	60.073294	24.580225	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-12 [9:42-11:15]	Helsinki	Uusimaa (U)	Suomi	60.244817	25.173147	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-12	Porvoo	Uusimaa (U)	Suomi	60.36768	25.73402		NEUTRAL	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-11	Savonlinna	Etelä-Savo (ES)	Suomi	61.56162	29.09271		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-10	Porvoo	Uusimaa (U)	Suomi	60.37156	25.68117		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-10	Espoo	Uusimaa (U)	Suomi	60.19314	24.78189		NEUTRAL	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-07	Raasepori	Varsinais-Suomi (V)	Suomi	60.13026	23.5012	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-07	Espoo	Uusimaa (U)	Suomi	60.29041	24.57741		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-06	Kouvola	Etelä-Savo (ES)	Suomi	60.88144	26.75174		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-06 [17:39] - 2026-09-07 [18:14]	Espoo	Uusimaa (U)	Suomi	60.192008	24.660904	Sure	NEUTRAL	Notebook, general observations
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-06 [12:55]	Tampere	Etelä-Häme (EH)	Suomi	61.468525	23.814743	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-05 - 2026-09-06	Asikkala	Etelä-Häme (EH)	Suomi	61.169459	25.867302	Sure	NEUTRAL	Notebook, general observations
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-05	Helsinki	Uusimaa (U)	Suomi	60.23413	25.14018		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-05	Tampere	Etelä-Häme (EH)	Suomi	61.5117	23.8178		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-05	Espoo	Uusimaa (U)	Suomi	60.306825	24.711637	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-04	Turku	Varsinais-Suomi (V)	Suomi	60.412043	22.116489	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-04	Salo	Varsinais-Suomi (V)	Suomi	60.367948	23.375102	Sure	NEUTRAL	The Atlas of Finnish Fungi
keltavahvero (fi) — Cantharellus cibarius	keltavahvero (fi)		2026-09-04	Lohja	Varsinais-Suomi (V)	Suomi	60.40297	23.810083	Sure	NEUTRAL	The Atlas of Finnish Fungi
