Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-07-12	Vaasa	Etelä-Pohjanmaa (EP)	Suomi	63.07409	21.66107		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-23	Kuusamo	Koillismaa (Ks)	Suomi	66.27434	28.64752		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-22	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.33919	27.34377		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-22	Vieremä	Pohjois-Savo (PS)	Suomi	63.80112	27.14607		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-19	Posio	Koillismaa (Ks)	Suomi	66.15262	27.54407		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-17	Muonio	Kittilän Lappi (KiL)	Suomi	68.02472	24.12353		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-11	Inari	Inarin Lappi (InL)	Suomi	68.39762	27.50185		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	2	2026-06-08	Enontekiö	Enontekiön Lappi (EnL)	Suomi	68.368193	23.687815	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	1	2026-06-07	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.493222	25.803637	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-07	Rautavaara	Pohjois-Karjala (PK)	Suomi	63.62793	28.46809		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-07	Kuusamo	Koillismaa (Ks)	Suomi	66.37972	29.30202		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-06	Rautavaara	Pohjois-Karjala (PK)	Suomi	63.57902	28.59046		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-05	Inari	Inarin Lappi (InL)	Suomi	68.35763	27.29888		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-04	Kuusamo	Koillismaa (Ks)	Suomi	66.22004	29.30422		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-04	Sotkamo	Kainuu (Kn)	Suomi	64.06278	27.94199		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-02	Joensuu, Kontiolahti, Tohmajärvi	Pohjois-Karjala (PK)	Suomi	62.5	30.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-06-01	Muonio	Kittilän Lappi (KiL)	Suomi	68.024	23.51894		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-31	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.79964	25.28594		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-31	Sotkamo	Kainuu (Kn)	Suomi	64.1974	28.21724		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-30	Liperi	Pohjois-Karjala (PK)	Suomi	62.65175	29.326		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-30	Iisalmi	Pohjois-Savo (PS)	Suomi	63.65196	27.18767		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-30	Iisalmi	Pohjois-Savo (PS)	Suomi	63.65156	27.18682		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-28	Lieksa	Pohjois-Karjala (PK)	Suomi	63.32596	30.22874		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-28	Lieksa	Pohjois-Karjala (PK)	Suomi	63.32596	30.22874		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-28	Salla	Koillismaa (Ks)	Suomi	66.73879	28.81826		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-27	Viitasaari	Pohjois-Häme (PH)	Suomi	62.9648	25.71646		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-27	Ikaalinen	Satakunta (St)	Suomi	61.87459	23.44375		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-25	Iisalmi	Pohjois-Savo (PS)	Suomi	63.65138	27.19374		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-24	Lahti	Uusimaa (U)	Suomi	60.929656	25.711189	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-24	Hollola	Etelä-Häme (EH)	Suomi	60.98818	25.4944		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-24	Espoo	Uusimaa (U)	Suomi	60.28146	24.72588		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-23	Pelkosenniemi	Sompion Lappi (SoL)	Suomi	67.01291	27.232		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	1	2026-05-20 [10:36]	Kuopio	Pohjois-Savo (PS)	Suomi	63.01457	27.179334	Sure	NEUTRAL	Notebook, general observations
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-20	Joroinen	Pohjois-Savo (PS)	Suomi	62.01647	27.7253		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-20	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.27001	25.82919		NEUTRAL	iNaturalist Suomi Finland
