Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-12	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.48889	25.824		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-12	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.48891	25.82413		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-09	Espoo	Uusimaa (U)	Suomi	60.29287	24.56322		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-09	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.21394	25.74428		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-09	Jyväskylä	Etelä-Häme (EH)	Suomi	62.14555	25.76563		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-06	Mustasaari	Etelä-Pohjanmaa (EP)	Suomi	63.21071	21.75028		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-06	Helsinki	Uusimaa (U)	Suomi	60.24611	25.158		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-06 [12:33-14:56]	Tampere	Etelä-Häme (EH)	Suomi	61.467401	23.8158	Sure	NEUTRAL	The Atlas of Finnish Fungi
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-06	Kangasala	Etelä-Häme (EH)	Suomi	61.52838	23.98552		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-04	Joensuu	Pohjois-Karjala (PK)	Suomi	62.58274	29.7283		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-09-04	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.18543	25.29622		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-31	Nurmes	Pohjois-Karjala (PK)	Suomi	63.54393	29.13466		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-30	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.33655	27.33323		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-30	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.33696	27.33202		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-29	Pälkäne	Etelä-Häme (EH)	Suomi	61.36365	24.21393		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-29	Pori	Satakunta (St)	Suomi	61.6872	21.54493		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-28	Hyvinkää	Uusimaa (U)	Suomi	60.583563	24.722974	Sure	NEUTRAL	The Atlas of Finnish Fungi
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-28	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.20645	25.89698		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-28	Salo	Varsinais-Suomi (V)	Suomi	60.23076	23.58713		NEUTRAL	iNaturalist Suomi Finland
