Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-13	Tampere	Etelä-Häme (EH)	Suomi	61.43522	23.88134		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-12	Espoo, Kirkkonummi	Uusimaa (U)	Suomi	60.1	24.5		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-12	Salo	Varsinais-Suomi (V)	Suomi	60.49668	23.09955		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-11	Kangasala, Orivesi, Pälkäne	Etelä-Häme (EH)	Suomi	61.5	24.5		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-08	Espoo	Uusimaa (U)	Suomi	60.22795	24.80353		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-06 [14:44]	Tampere	Etelä-Häme (EH)	Suomi	61.466607	23.812141	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-05 - 2026-09-06	Asikkala	Etelä-Häme (EH)	Suomi	61.169459	25.867302	Sure	NEUTRAL	Notebook, general observations
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-04	Hollola	Etelä-Häme (EH)	Suomi	61.00649	25.5738		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-04 - 2026-09-06	Turku	Varsinais-Suomi (V)	Suomi	60.42809	22.177063	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-04 [17:43]	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.247448	25.659039	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-04	Jämsä	Etelä-Häme (EH)	Suomi	62.08313	25.14306		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-09-03	Turku	Varsinais-Suomi (V)	Suomi	60.52551	22.32843		NEUTRAL	iNaturalist Suomi Finland
