Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-09-12	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.48831	25.82349		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-09-12	Espoo	Uusimaa (U)	Suomi	60.32126	24.69123		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-09-05	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.18452	25.29685		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-09-05	Soini	Keski-Pohjanmaa (KP)	Suomi	62.83723	24.29021		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-09-05	Espoo	Uusimaa (U)	Suomi	60.307989	24.71029	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-09-04	Lumijoki	Oulun Pohjanmaa (OP)	Suomi	64.81032	25.24759		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-09-02	Porvoo	Uusimaa (U)	Suomi	60.37704	25.74274		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-09-01	Turku	Varsinais-Suomi (V)	Suomi	60.35577	22.15615		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-30	Orimattila	Uusimaa (U)	Suomi	60.814224	25.866412	Sure	NEUTRAL	Notebook, general observations
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-29	Hyrynsalmi	Kainuu (Kn)	Suomi	64.73414	28.07032		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)	Muutamia	2026-08-28	Parainen	Varsinais-Suomi (V)	Suomi	60.267317	22.374335	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-28	Hartola, Joutsa	Etelä-Häme (EH), Etelä-Savo (ES)	Suomi	61.7	26.1		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-28	Hartola, Joutsa	Etelä-Häme (EH), Etelä-Savo (ES)	Suomi	61.7	26.1		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-27	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.5		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-27	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.5		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-27	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.5		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-26	Äänekoski	Pohjois-Häme (PH)	Suomi	62.58791	25.97889		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-25	Kuusamo	Koillismaa (Ks)	Suomi	66.075	29.01424		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-25	Kouvola	Etelä-Savo (ES)	Suomi	60.88026	26.72488		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-22	Saarijärvi	Pohjois-Häme (PH)	Suomi	62.842957	25.462967	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)	~15	2026-08-16 [17:32-20:22]	Kaarina	Varsinais-Suomi (V)	Suomi	60.469335	22.334281	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2026-08-16	Juupajoki	Etelä-Häme (EH)	Suomi	61.79839	24.38039		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2025-10-09	Hyvinkää	Uusimaa (U)	Suomi	60.62777	24.8382		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2025-10-05	Ikaalinen	Satakunta (St)	Suomi	61.76779	23.23656		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)	Muutama	2025-09-25	Raahe	Keski-Pohjanmaa (KP)	Suomi	64.624461	24.402166	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2025-09-18	Helsinki	Uusimaa (U)	Suomi	60.26802	25.15668		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2025-09-13	Hollola, Hämeenlinna	Etelä-Häme (EH)	Suomi	61.1	25.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2025-09-13	Salo	Varsinais-Suomi (V)	Suomi	60.21044	22.91855		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2025-09-13	Vaasa	Etelä-Pohjanmaa (EP)	Suomi	63.099941	21.740652	Sure	NEUTRAL	Notebook, general observations
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2025-09-12	Viitasaari	Pohjois-Häme (PH)	Suomi	63.16755	25.64137		NEUTRAL	iNaturalist Suomi Finland
mustavahakas (fi) — Hygrophorus camarophyllus	mustavahakas (fi)		2025-09-11 [10:36-14:42]	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.024016	24.467051	Sure	NEUTRAL	The Atlas of Finnish Fungi
