Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-15	Helsinki	Uusimaa (U)	Suomi	60.25829	24.91573		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-13 [15:19-16:52]	Tampere	Etelä-Häme (EH)	Suomi	61.46673	23.812854	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-12	Salo	Varsinais-Suomi (V)	Suomi	60.49578	23.0942		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-11	Espoo	Uusimaa (U)	Suomi	60.189997	24.66323	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-11	Parainen	Varsinais-Suomi (V)	Suomi	60.24256	22.21894		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-06	Hausjärvi, Hyvinkää, Mäntsälä	Etelä-Häme (EH), Uusimaa (U)	Suomi	60.7	25.1		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-06	Kuopio	Pohjois-Savo (PS)	Suomi	62.87787	27.58771		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-06	Toivakka	Pohjois-Häme (PH)	Suomi	62.15564	26.17238		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-06 [13:55]	Tampere	Etelä-Häme (EH)	Suomi	61.467787	23.815891	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-06	Puumala	Etelä-Savo (ES)	Suomi	61.45303	27.83448		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-04	Lohja	Varsinais-Suomi (V)	Suomi	60.403115	23.81073	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-03	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.00198	25.86384		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-09-03	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.00189	25.86367		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
