Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-15	Kouvola	Etelä-Savo (ES)	Suomi	60.86255	26.76918		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-14 - 2026-09-15	Espoo	Uusimaa (U)	Suomi	60.191668	24.685817	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-14	Sipoo	Uusimaa (U)	Suomi	60.30536	25.20597		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-13	Tampere	Etelä-Häme (EH)	Suomi	61.43385	23.87379		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-13	Helsinki	Uusimaa (U)	Suomi	60.14454	24.87519		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-13	Kaarina	Varsinais-Suomi (V)	Suomi	60.42303	22.53874		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-13 [15:19-16:52]	Tampere	Etelä-Häme (EH)	Suomi	61.467571	23.812386	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-12	Lahti	Etelä-Häme (EH)	Suomi	60.942126	25.590615	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-12	Espoo	Uusimaa (U)	Suomi	60.23848	24.66893		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-12	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.48934	25.8211		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-12 [9:42-11:15]	Helsinki	Uusimaa (U)	Suomi	60.247049	25.168696	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-11	Espoo	Uusimaa (U)	Suomi	60.29257	24.56288		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2026-09-11	Espoo	Uusimaa (U)	Suomi	60.25004	24.60928		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
