Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-15	Savonlinna	Pohjois-Savo (PS)	Suomi	62.22467	29.0517		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-13 [15:19-16:52]	Tampere	Etelä-Häme (EH)	Suomi	61.470378	23.811411	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-11	Lempäälä	Etelä-Häme (EH)	Suomi	61.35094	23.80329		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-10	Espoo	Uusimaa (U)	Suomi	60.19318	24.78189		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-08	Heinävesi	Pohjois-Savo (PS)	Suomi	62.40648	28.772586	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-06	Espoo	Uusimaa (U)	Suomi	60.19668	24.75939		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-06 [12:55]	Tampere	Etelä-Häme (EH)	Suomi	61.468525	23.814743	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-05	Parainen	Varsinais-Suomi (V)	Suomi	60.292892	22.322114	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-05	Helsinki	Uusimaa (U)	Suomi	60.22912	25.14554		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-04	Turku	Varsinais-Suomi (V)	Suomi	60.412244	22.114963	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-04	Salo	Varsinais-Suomi (V)	Suomi	60.36765	23.377152	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-09-01	Tuusula	Uusimaa (U)	Suomi	60.39355	25.04284		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-29	Espoo	Uusimaa (U)	Suomi	60.266506	24.646683	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-28	Hyvinkää	Uusimaa (U)	Suomi	60.584905	24.723428	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-26	Lempäälä	Etelä-Häme (EH)	Suomi	61.3511	23.80256		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-24	Espoo	Uusimaa (U)	Suomi	60.250833	24.604221	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-24	Hirvensalmi	Etelä-Savo (ES)	Suomi	61.79405	26.63333		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-24 [9:50-10:42]	Sysmä	Etelä-Häme (EH)	Suomi	61.496293	25.683056	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-23	Kemiönsaari	Varsinais-Suomi (V)	Suomi	60.2343	22.7066		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-22	Kokemäki	Satakunta (St)	Suomi	61.19898	22.36329		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-22	Turku	Varsinais-Suomi (V)	Suomi	60.58168	22.36525		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-22 [10:00-11:00]	Sysmä	Etelä-Häme (EH)	Suomi	61.42188	25.740367	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-20	Utsjoki	Inarin Lappi (InL)	Suomi	69.75589	27.0058		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-18	Vihti	Varsinais-Suomi (V)	Suomi	60.31209	24.44983		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-18	Vihti	Varsinais-Suomi (V)	Suomi	60.31337	24.45178		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-18	Vihti	Varsinais-Suomi (V)	Suomi	60.31342	24.45176		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-18	Vihti	Varsinais-Suomi (V)	Suomi	60.31269	24.45135		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-17	Turku	Varsinais-Suomi (V)	Suomi	60.42374	22.26835		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-17	Kirkkonummi	Uusimaa (U)	Suomi	60.15272	24.56472		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-15	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.35391	25.69603		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-15	Turku	Varsinais-Suomi (V)	Suomi	60.42535	22.2794		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-15	Aura, Lieto, Loimaa, Pöytyä	Satakunta (St), Varsinais-Suomi (V)	Suomi	60.7	22.7		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-15	Reisjärvi	Keski-Pohjanmaa (KP)	Suomi	63.6797	25.14741		NEUTRAL	iNaturalist Suomi Finland
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-14	Taivalkoski	Koillismaa (Ks)	Suomi	65.70461	27.98019	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-14	Porvoo	Uusimaa (U)	Suomi	60.401712	25.74719	Sure	NEUTRAL	The Atlas of Finnish Fungi
vaaleaorakas (fi) — Hydnum repandum	vaaleaorakas (fi)		2026-08-13	Iisalmi	Pohjois-Savo (PS)	Suomi	63.54024	27.46894		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
